Sub_ID,Age,condition,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,comments,location,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
111612_13,3,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,0,Size,tall,0,1,1,2,,CDM,3.0--3.5,32.14,0,0,na,na,0,1,1,0.5,1,na,na,na,na,1
020713_03,3,2-BA,Feature,broken,0,Size,short,1,Feature,wet,1,Size,tall,0,1,1,2,,CDM,3.0--3.5,92.86,1,1,0,1,1,1,1,1,1,1,1,1,1,1
013113_03,3.01,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,good clip!,CDM,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120712_02,3.07,1-AA,Size,small,0,Feature,pointy,1,Feature,wet,0,Size,tall,0,0,1,1,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020713_05,3.07,2-AB,Size,small,0,Feature,pointy,1,Size,long,0,Feature,dirty,0,0,1,1,,CDM,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111512_02,3.08,1-AB,Size,small,0,Feature,pointy,0,Feature,wet,0,Size,tall,0,0,0,0,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121012_01,3.09,2-BA,Feature,broken,0,Size,short,0,Feature,wet,1,Size,tall,1,1,1,2,always chose second,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
013113_01,3.1,2-AB,Size,small,0,Feature,pointy,0,Size,long,0,Feature,dirty,0,0,0,0,"sat on mom's lap, weird posttest answers ""fixed"" and ""smooth""",CDM,3.0--3.5,78.57,1,1,0,0,1,1,1,1,1,1,1,0,1,1
020713_02,3.15,2-BA,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,0,1,1,2,,CDM,3.0--3.5,78.57,1,1,1,1,1,1,1,1,1,0,1,1,0,0
120612_01,3.23,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012413_06,3.25,1-BA,Feature,broken,0,Size,short,1,Size,long,0,Feature,dirty,1,1,1,2,started learning english a year ago,CDM,3.0--3.5,71.43,1,1,0,0,1,1,1,1,1,1,0,0,1,1
112912_01,3.26,2-AA,Size,small,1,Feature,pointy,1,Size,long,0,Feature,dirty,1,1,2,3,,Bing,3.0--3.5,89.29,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1
111512_01,3.3,1-BB,Feature,broken,1,Size,long,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,3.0--3.5,89.29,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,1,1
020713_06,3.32,2-BB,Feature,broken,0,Size,short,0,Feature,wet,1,Size,tall,1,1,1,2,,CDM,3.0--3.5,78.57,1,1,0,1,1,1,1,1,1,1,1,1,0,0
121112_04,3.33,1-BB,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012413_04,3.35,1-BA,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,,CDM,3.0--3.5,71.43,1,1,0,0,1,1,1,1,1,1,0,0,1,1
120512_02,3.36,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120712_01,3.38,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120712_03,3.39,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,0,Size,tall,1,2,1,3,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120412_01,3.43,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,revised posttest,Bing,3.0--3.5,85.71,1,1,1,1,1,1,1,1,1,1,1,1,0,0
121312_01,3.43,2-BB,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,1,2,1,3,,Bing,3.0--3.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121112_02,3.44,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,good clip,Bing,3.0--3.5,92.86,1,0,1,1,1,1,1,1,1,1,1,1,1,1
