Sub_ID,experimenter,Age,condition,book_type,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
022813_01,ACH,4.39,1-AA,Adjective_Only,Feature,broken,1,Feature,pointy,0,Size,long,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
022813_02,ACH,4.74,1-BA,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
022813_03,ACH,4.62,1-BA,Adjective_Only,Feature,broken,1,Size,short,0,Size,long,0,Feature,dirty,1,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
022813_04,ACH,4.51,2-AA,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
022813_05,ACH,4.83,2-BA,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
050613_01,ACH,4.52,2-BB,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
050613_02,ACH,4.68,2-BA,Adjective_Only,Feature,broken,0,Size,short,1,Feature,wet,1,Size,tall,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
050613_03,ACH,4.47,2-AA,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,4.0-4.5,100,,,,,,,,,,,,,,
050613_04,ACH,4.45,2-AB,Adjective_Only,Size,small,0,Feature,pointy,0,Size,long,0,Feature,dirty,1,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
050613_05,ACH,4.24,1-AA,Adjective_Only,Size,small,0,Feature,poiny,1,Feature,wet,0,Size,tall,0,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
050813_01,ACH,4.29,1-AA,Adjective_Only,Size,small,0,Feature,pointy,1,Feature,wet,0,Size,tall,0,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
050813_02,ACH,4.03,1-AB,Adjective_Only,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
050813_03,ACH,4.89,1-AB,Adjective_Only,Size,broken,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
050813_04,ACH,4.86,1-AB,Adjective_Only,Size,broken,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
050913_01,ACH,4.29,1-BB,Adjective_Only,Feature,broken,1,Size,short,0,Size,long,0,Feature,dirty,1,0,2,2,4.0-4.5,100,,,,,,,,,,,,,,
050913_02,ACH,4.78,1-BB,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
050913_03,ACH,4.82,1-BA,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
050913_04,ACH,4.66,1-AA,Adjective_Only,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
050913_05,ACH,4.18,1-AB,Adjective_Only,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,4.0-4.5,100,,,,,,,,,,,,,,
050913_06,ACH,4.18,2-AA,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,4.0-4.5,100,,,,,,,,,,,,,,
050913_07,ACH,4.88,2-AA,Adjective_Only,Size,small,1,Feature,pointy,1,Size,long,0,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
051013_01,ACH,4.68,2-AB,Adjective_Only,Size,small,0,Feature,pointy,0,Size,long,0,Feature,dirty,1,0,1,1,4.5-5.0,100,,,,,,,,,,,,,,
052313_01,ACH,4.45,2-BA,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
052313_02,ACH,4.55,2-BA,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
052313_05,ACH,4.11,2-BB,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
052813_02,ACH,4.46,1-BA,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
052813_03,ACH,4.31,2-BA,Adjective_Only,Feature,broken,0,Size,short,0,Feature,wet,1,Size,tall,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
103013_01,ACH,4.44,2-AB,Adjective_Only,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
103013_02,ACH,4.7,2-AB,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
103013_03,ACH,4.24,2-BB,Adjective_Only,Feature,broken,0,Size,short,0,Feature,wet,0,Size,tall,0,0,0,0,4.0-4.5,100,,,,,,,,,,,,,,
103013_04,ACH,4.24,1-BA,Adjective_Only,Feature,broken,0,Size,short,1,Size,long,1,Feature,dirty,0,2,0,2,4.0-4.5,100,,,,,,,,,,,,,,
103013_05,ACH,4.76,1-BB,Adjective_Only,Feature,broken,1,Size,short,0,Size,long,0,Feature,dirty,1,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
111513_03,ACH,4.41,2-BB,Adjective_Only,Feature,broken,0,Size,short,0,Feature,wet,0,Size,tall,0,0,0,0,4.0-4.5,100,,,,,,,,,,,,,,
111513_04,ACH,4.47,1-BB,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
111513_05,ACH,4.17,1-BB,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,1,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
112113_01,LHH,4.16,1-BA,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
010914_01,LHH,4.73,1-AA,Adjective_Only,Size,small,0,Feature,pointy,0,Feature,wet,1,Size,tall,0,0,1,1,4.5-5.0,100,,,,,,,,,,,,,,
011414-02,LHH,4.4,2-AA,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
