Sub_ID,age,book_type,condition,pretest_1_adj,pretest_1_response,pretest_2_adj,pretest_2_response,plizzle_type,plizzle_adj,plizzle_response,plizzle,gorpu_type,gorpu_adj,gorpu_response,gorpu,moki_type,moki_adj,moki_response,moki,toba_type,toba_adj,toba_response,toba,Size_score (out of 4),prop_Size_score,Feature_score (out of 4),prop_feat_score,total_score (out of 8),prop_total_correct,Size_righttrack (out of 2),prop_Size_righttrack,Feature_righttrack (out of 2),prop_feat_righttrack,total_righttrack (out of 4),prop_total_righttrack,prop_0,prop_1,prop_2,location,posttest,darkest,lightest,shortest,tallest,hot,cold,biggest,smallest,open ,closed,longest,shortest,wet,dry,skinniest,fattest
071513_06,4.58,free response,2-B,red,different colors,heart-shaped,different shapes,Size,small,different color,0,Feature,wet,?,0,Size,tall,small,1,Feature,open,closed ,2,2,0.5,2,0.5,4,0.5,1,0.5,1,0.5,2,0.5,0.5,0,0.5,CDM,100%,,,,,,,,,,,,,,,,
071513_08,4.07,free response,1-B,red,green,heart-shaped,circle,Size,small,big,2,Size,long,short,2,Feature,dark,without long thing,0,Feature,open,some don't open and some open,2,4,1,2,0.5,6,0.75,2,1,1,0.5,3,0.75,0.25,0,0.75,CDM,88%,,,,,,,,,,,,,,,wrong,wrong
071513_09,4.59,free response,2-A,red,green,heart-shaped,"square, rectangular",Feature,hot,"square, rectangle",0,Size,long,short,2,Feature,dark,light,2,Size,skinny ,fat,2,4,1,2,0.5,6,0.75,2,1,1,0.5,3,0.75,0.25,0,0.75,CDM,100%,,,,,,,,,,,,,,,,
072213_01,4.64,free response,1-A,red,green,heart-shaped,round,Feature,hot,green and round,0,Feature,wet,round,0,Size,tall,short,2,Size,skinny,g-shaped,0,2,0.5,0,0,2,0.25,1,0.5,0,0,1,0.25,0.75,0,0.25,CDM,100%,,,,,,,,,,,,,,,,
072213_04,4.87,free response,2-B,red,green,heart-shaped,circle,Size,small,big,2,Feature,wet,dry,2,Size,tall,small,1,Feature,open,closed,2,4,1,4,1,8,1,2,1,2,1,4,1,0,0,1,CDM,100%,,,,,,,,,,,,,,,,
072213_07,4.82,free response,1-A,red,green,heart-shaped,circle,Feature,hot,cold,2,Feature,wet,dry,2,Size,tall,small,1,Size,skinny ,fat,2,4,1,4,1,8,1,2,1,2,1,4,1,0,0,1,CDM,100%,,,,,,,,,,,,,,,,
072213_08,4.59,free response,1-B,red,green,heart-shaped,circle,Size,small,"orange, blue, red, €.",0,Size,long,"orange, blue, red, €.",0,Feature,dark,"orange, blue, red, €.",1,Feature,open,"orange, blue, red, €.",0,0,0,1,0.25,1,0.125,0,0,1,0.5,1,0.25,0.75,0.25,0,CDM,75%,,,,,,,,,wrong,,wrong,,,,wrong,wrong
073113_03,4.49,free response,2-A,red,green,heart-shaped,circle,Feature,hot,cold,2,Size,long,short,2,Feature,dark,light,2,Size,skinny ,thick,1,4,1,4,1,8,1,2,1,2,1,4,1,0,0,1,CDM,100%,,,,,,,,,,,,,,,,
073113_07,4.64,free response,1-A,red,yellow,heart-shaped,square,Feature,hot,red,0,Feature,wet,yellow,0,Size,tall,green,0,Size,skinny ,green,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CDM,100%,,,,,,,,,,,,,,,,
080113_03,4.57,free response,2-A,red,orange,heart-shaped,round,Feature,hot,with fire,0,Size,long,shaped like hotdog,0,Feature,dark,the same,0,Size,skinny ,the same,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CDM,100%,,,,,,,,,,,,,,,,
