Subj_ID,location,age,agegroup,gender,list,trial1,trial1_type,trial1_adj,trial1_correct,trial2,trial2_type,trial2_adj,trial2_correct,trial3,trial3_type,trial3_adj,trial3_correct,trial4,trial4_type,trial4_adj,trial4_correct,trial5,trial5_type,trial5_adj,trial5_correct,trial6,trial6_type,trial6_adj,trial6_correct,trial7,trial7_type,trial7_adj,trial7_correct,trial8,trial8_type,trial8_adj,trial8_correct,notes
012615_06,Bing,4.01,4.0-4.5,M,1A,plizzle,Size,small,0,zib,Feature,clean,1,peebo,Size,long,1,toma,Feature,open,1,moki,Size,short,1,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,0,
011815_09,CDM,4.25,4.0-4.5,F,1A,plizzle,Size,small,1,zib,Feature,clean,1,peebo,Size,long,0,toma,Feature,open,1,moki,Size,short,1,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,1,
011815_01,CDM,4.41,4.0-4.5,M,1A,plizzle,Size,small,0,zib,Feature,clean,1,peebo,Size,long,1,toma,Feature,open,0,moki,Size,short,0,glorp,Feature,empty,1,zorbu,Size,fat,1,dak,Feature,round,0,
011815_06,CDM,4.04,4.0-4.5,F,1B,plizzle,Feature,hot,1,zib,Size,tall,1,peebo,Feature,hard,0,toma,Size,skinny,1,moki,Feature,bright,0,glorp,Size,big,1,zorbu,Feature,dry,0,dak,Size,short,1,
012015_02,Bing,4.1,4.0-4.5,M,1B,plizzle,Feature,hot,0,zib,Size,tall,1,peebo,Feature,hard,0,toma,Size,skinny,1,moki,Feature,bright,0,glorp,Size,big,1,zorbu,Feature,dry,0,dak,Size,short,0,
012315_05,Bing,4.42,4.0-4.5,F,1B,plizzle,Feature,hot,1,zib,Size,tall,1,peebo,Feature,hard,1,toma,Size,skinny,1,moki,Feature,bright,1,glorp,Size,big,1,zorbu,Feature,dry,1,dak,Size,short,1,
012115_01,Bing,4.24,4.0-4.5,M,2A,plizzle,Size,big,0,zib,Feature,dirty,1,peebo,Size,short,1,toma,Feature,closed,1,moki,Size,tall,1,glorp,Feature,full,1,zorbu,Size,skinny,0,dak,Feature,pointy,0,
011415_02,Bing,4.46,4.0-4.5,F,2A,plizzle,Size,big,0,zib,Feature,dirty,1,peebo,Size,short,1,toma,Feature,closed,1,moki,Size,tall,1,glorp,Feature,full,1,zorbu,Size,skinny,1,dak,Feature,pointy,1,
011815_07,CDM,4.48,4.0-4.5,M,2A,plizzle,Size,big,0,zib,Feature,dirty,1,peebo,Size,short,1,toma,Feature,closed,0,moki,Size,tall,0,glorp,Feature,full,1,zorbu,Size,skinny,0,dak,Feature,pointy,0,
011715_04,CDM,4.16,4.0-4.5,M,2B,plizzle,Feature,cold,1,zib,Size,short,0,peebo,Feature,soft,0,toma,Size,fat,1,moki,Feature,dark,1,glorp,Size,small,1,zorbu,Feature,wet,1,dak,Size,long,1,
011815_05,CDM,4.38,4.0-4.5,F,2B,plizzle,Feature,cold,1,zib,Size,short,1,peebo,Feature,soft,1,toma,Size,fat,1,moki,Feature,dark,1,glorp,Size,small,1,zorbu,Feature,wet,1,dak,Size,long,1,
012615_05,Bing,4.42,4.0-4.5,F,2B,plizzle,Feature,cold,0,zib,Size,short,1,peebo,Feature,soft,0,toma,Size,fat,1,moki,Feature,dark,1,glorp,Size,small,0,zorbu,Feature,wet,0,dak,Size,long,1,
012315_02,Bing,4.11,4.0-4.5,M,3A,dak,Feature,round,0,zorbu,Size,fat,1,glorp,Feature,empty,1,moki,Size,short,1,toma,Feature,open,1,peebo,Size,long,0,zib,Feature,clean,1,plizzle,Size,small,0,
011515_05,Bing,4.22,4.0-4.5,M,3A,dak,Feature,round,1,zorbu,Size,fat,1,glorp,Feature,empty,1,moki,Size,short,1,toma,Feature,open,1,peebo,Size,long,1,zib,Feature,clean,1,plizzle,Size,small,0,
